"","A","B","Appearance","Ethics","Intelligence","Kindness","Wealth","compatibility"
"297","Rooster","Duck",87.5,75,100,75.0996015936255,100,86.8043301136582
"298","Rooster","Gander",72.5,63.6363636363636,100,51.9230769230769,100,75.1416550332879
"299","Rooster","Goose",79.1666666666667,50.199203187251,99.5098039215686,90,83.3333333333333,78.4211602325378
"300","Rooster","Hen",26.4705882352941,69.6969696969697,97.7272727272727,100,69.6969696969697,66.0452263231563
"301","Rooster","Lioness",95.8333333333333,40.2390438247012,80.3921568627451,90,100,77.4683109916629
"302","Rooster","Mare",50.9803921568627,40.2390438247012,100,90,100,71.3277733381216
"303","Rooster","Pen",75,50.9803921568627,87.5,100,94.4444444444444,79.4199813808701
"304","Rooster","Ram",75,45.4545454545455,100,75.9615384615385,69.6969696969697,71.0050513995134
"305","Rooster","Tigress",79.1666666666667,50.9803921568627,100,100,100,83.4044276105641
"306","Rooster","Whale",75,41.1764705882353,80.3921568627451,100,100,75.680642870269
"307","Tigress","Boar",100,87.5,100,100,100,97.3647180615168
"308","Tigress","Buck",58.3333333333333,83.3333333333333,100,100,100,86.5659520169564
"309","Tigress","Bull",100,100,100,100,100,100
"310","Tigress","Cob",79.1666666666667,83.3333333333333,95.8333333333333,100,100,91.2379547955728
"311","Tigress","Cow",75.8333333333333,100,77.2727272727273,100,100,89.8622477171943
"312","Tigress","Doe",75.9615384615385,100,100,100,100,94.6495929110257
"313","Tigress","Dog",75.8333333333333,90,100,100,100,92.6446897202882
"314","Tigress","Drake",75.9615384615385,90,100,100,100,92.6759938969639
"315","Tigress","Duck",100,100,100,75.0996015936255,100,94.4338131853527
"316","Tigress","Gander",75.1923076923077,37.5,100,51.9230769230769,100,68.0946544549364
"317","Tigress","Goose",75.9615384615385,100,95.8333333333333,100,100,93.8473619827388
